1000 outputs of genrand_int32()
3082092067 3960461946 1663304043 2087473241 4162589986 
2507310778 1579665506  767234210  970676017  492207530 
1441679602 1314785090 3262202570 3417091742 1561989210 
3011406780 1146609202 3262321040 1374872171 1634688712 
1280458888 2230023982  419323804 3262899800   39783310 
1641619040 1700368658 2207946628 2571300939 2424079766 
 780290914 2715195096 3390957695  163151474 2309534542 
1860018424  555755123  280320104 1604831083 2713022383 
1728987441 3639955502  623065489 3828630947 4275479050 
3516347383 2343951195 2430677756  635534992 3868699749 
 808442435 3070644069 4282166003 2093181383 2023555632 
1568662086 3422372620 4134522350 3016979543 3259320234 
2888030729 3185253876 4258779643 1267304371 1022517473 
 815943045  929020012 2995251018 3371283296 3608029049 
2018485115  122123397 2810669150 1411365618 1238391329 
1186786476 3155969091 2242941310 1765554882  279121160 
4279838515 1641578514 3796324015   13351065  103516986 
1609694427  551411743 2493771609 1316337047 3932650856 
4189700203  463397996 2937735066 1855616529 2626847990 
  55091862 3823351211  753448970 4045045500 1274127772 
1124182256   92039808 2126345552  425973257  386287896 
2589870191 1987762798 4084826973 2172456685 3366583455 
3602966653 2378803535 2901764433 3716929006 3710159000 
2653449155 3469742630 3096444476 3932564653 2595257433 
 318974657 3146202484  853571438  144400272 3768408841 
 782634401 2161109003  570039522 1886241521   14249488 
2230804228 1604941699 3928713335 3921942509 2155806892 
 134366254  430507376 1924011722  276713377  196481886 
3614810992 1610021185 1785757066  851346168 3761148643 
2918835642 3364422385 3012284466 3735958851 2643153892 
3778608231 1164289832  205853021 2876112231 3503398282 
3078397001 3472037921 1748894853 2740861475  316056182 
1660426908  168885906  956005527 3984354789  566521563 
1001109523 1216710575 2952284757 3834433081 3842608301 
2467352408 3974441264 3256601745 1409353924 1329904859 
2307560293 3125217879 3622920184 3832785684 3882365951 
2308537115 2659155028 1450441945 3532257603 3186324194 
1225603425 1124246549  175808705 3009142319 2796710159 
3651990107  160762750 1902254979 1698648476 1134980669 
 497144426 3302689335 4057485630 3603530763 4087252587 
 427812652  286876201  823134128 1627554964 3745564327 
2589226092 4202024494   62878473 3275585894 3987124064 
2791777159 1916869511 2585861905 1375038919 1403421920 
  60249114 3811870450 3021498009 2612993202  528933105 
2757361321 3341402964 2621861700  273128190 4015252178 
3094781002 1621621288 2337611177 1796718448 1258965619 
4241913140 2138560392 3022190223 4174180924  450094611 
3274724580  617150026 2704660665 1469700689 1341616587 
 356715071 1188789960 2278869135 1766569160 2795896635 
  57824704 2893496380 1235723989 1630694347 3927960522 
 428891364 1814070806 2287999787 4125941184 3968103889 
3548724050 1025597707 1404281500 2002212197   92429143 
2313943944 2403086080 3006180634 3561981764 1671860914 
1768520622 1803542985  844848113 3006139921 1410888995 
1157749833 2125704913 1789979528 1799263423  741157179 
2405862309  767040434 2655241390 3663420179 2172009096 
2511931187 1680542666  231857466 1154981000  157168255 
1454112128 3505872099 1929775046 2309422350 2143329496 
2960716902  407610648 2938108129 2581749599  538837155 
2342628867  430543915  740188568 1937713272 3315215132 
2085587024 4030765687  766054429 3517641839  689721775 
1294158986 1753287754 4202601348 1974852792   33459103 
3568087535 3144677435 1686130825 4134943013 3005738435 
3599293386  426570142  754104406 3660892564 1964545167 
 829466833  821587464 1746693036 1006492428 1595312919 
1256599985 1024482560 1897312280 2902903201  691790057 
1037515867 3176831208 1968401055 2173506824 1089055278 
1748401123 2941380082  968412354 1818753861 2973200866 
3875951774 1119354008 3988604139 1647155589 2232450826 
3486058011 3655784043 3759258462  847163678 1082052057 
 989516446 2871541755 3196311070 3929963078  658187585 
3664944641 2175149170 2203709147 2756014689 2456473919 
3890267390 1293787864 2830347984 3059280931 4158802520 
1561677400 2586570938  783570352 1355506163   31495586 
3789437343 3340549429 2092501630  896419368  671715824 
3530450081 3603554138 1055991716 3442308219 1499434728 
3130288473 3639507000   17769680 2259741420  487032199 
4227143402 3693771256 1880482820 3924810796  381462353 
4017855991 2452034943 2736680833 2209866385 2128986379 
 437874044  595759426  641721026 1636065708 3899136933 
 629879088 3591174506  351984326 2638783544 2348444281 
2341604660 2123933692  143443325 1525942256  364660499 
 599149312  939093251 1523003209  106601097  376589484 
1346282236 1297387043  764598052 3741218111  933457002 
1886424424 3219631016  525405256 3014235619  323149677 
2038881721 4100129043 2851715101 2984028078 1888574695 
2014194741 3515193880 4180573530 3461824363 2641995497 
3179230245 2902294983 2217320456 4040852155 1784656905 
3311906931   87498458 2752971818 2635474297 2831215366 
3682231106 2920043893 3772929704 2816374944  309949752 
2383758854  154870719  385111597 1191604312 1840700563 
 872191186 2925548701 1310412747 2102066999 1504727249 
3574298750 1191230036 3330575266 3180292097 3539347721 
 681369118 3305125752 3648233597  950049240 4173257693 
1760124957  512151405  681175196  580563018 1169662867 
4015033554 2687781101  699691603 2673494188 1137221356 
 123599888  472658308 1053598179 1012713758 3481064843 
3759461013 3981457956 3830587662 1877191791 3650996736 
 988064871 3515461600 4089077232 2225147448 1249609188 
2643151863 3896204135 2416995901 1397735321 3460025646 

1000 outputs of genrand_real2()
0.76275443 0.99000644 0.98670464 0.10143112 0.27933125 
0.69867227 0.94218740 0.03427201 0.78842173 0.28180608 
0.92179002 0.20785655 0.54534773 0.69644020 0.38107718 
0.23978165 0.65286910 0.07514568 0.22765211 0.94872929 
0.74557914 0.62664415 0.54708246 0.90959343 0.42043116 
0.86334511 0.19189126 0.14718544 0.70259889 0.63426346 
0.77408121 0.04531601 0.04605807 0.88595519 0.69398270 
0.05377184 0.61711170 0.05565708 0.10133577 0.41500776 
0.91810699 0.22320679 0.23353705 0.92871862 0.98897234 
0.19786706 0.80558809 0.06961067 0.55840445 0.90479405 
0.63288060 0.95009721 0.54948447 0.20645042 0.45000959 
0.87050869 0.70806991 0.19406895 0.79286390 0.49332866 
0.78483914 0.75145146 0.12341941 0.42030252 0.16728160 
0.59906494 0.37575460 0.97815160 0.39815952 0.43595080 
0.04952478 0.33917805 0.76509902 0.61034321 0.90654701 
0.92915732 0.85365931 0.18812377 0.65913428 0.28814566 
0.59476081 0.27835931 0.60722542 0.68310435 0.69387186 
0.03699800 0.65897714 0.17527003 0.02889304 0.86777366 
0.12352068 0.91439461 0.32022990 0.44445731 0.34903686 
0.74639273 0.65918367 0.92492794 0.31872642 0.77749724 
0.85413832 0.76385624 0.32744211 0.91326300 0.27458185 
0.22190155 0.19865383 0.31227402 0.85321225 0.84243342 
0.78544200 0.71854080 0.92503892 0.82703064 0.88306297 
0.47284073 0.70059042 0.48003761 0.38671694 0.60465770 
0.41747204 0.47163243 0.72750808 0.65830223 0.10955369 
0.64215401 0.23456345 0.95944940 0.72822249 0.40888451 
0.69980355 0.26677428 0.57333635 0.39791582 0.85377858 
0.76962816 0.72004885 0.90903087 0.51376506 0.37732665 
0.12691640 0.71249738 0.81217908 0.37037313 0.32772374 
0.14238259 0.05614811 0.74363008 0.39773267 0.94859135 
0.31452454 0.11730313 0.62962618 0.33334237 0.45547255 
0.10089665 0.56550662 0.60539371 0.16027624 0.13245301 
0.60959939 0.04671662 0.99356286 0.57660859 0.40269560 
0.45274629 0.06699735 0.85064246 0.87742744 0.54508392 
0.87242982 0.29321385 0.67660627 0.68230715 0.79052073 
0.48592054 0.25186266 0.93769755 0.28565487 0.47219067 
0.99054882 0.13155240 0.47110470 0.98556600 0.84397623 
0.12875246 0.90953202 0.49129015 0.23792727 0.79481194 
0.44337770 0.96564297 0.67749118 0.55684872 0.27286897 
0.79538393 0.61965356 0.22487929 0.02226018 0.49248200 
0.42247006 0.91797788 0.99250134 0.23449967 0.52531508 
0.10246337 0.78685622 0.34310922 0.89892996 0.40454552 
0.68608407 0.30752487 0.83601319 0.54956031 0.63777550 
0.82199797 0.24890696 0.48801123 0.48661910 0.51223987 
0.32969635 0.31075073 0.21393155 0.73453207 0.15565705 
0.58584522 0.28976728 0.97621478 0.61498701 0.23891470 
0.28518540 0.46809591 0.18371914 0.37597910 0.13492176 
0.66849449 0.82811466 0.56240330 0.37548956 0.27562998 
0.27521910 0.74096121 0.77176757 0.13748143 0.99747138 
0.92504502 0.09175241 0.21389176 0.21766512 0.31183245 
0.23271221 0.21207367 0.57903312 0.77523344 0.13242613 
0.31037988 0.01204835 0.71652949 0.84487594 0.14982178 
0.57423142 0.45677888 0.48420169 0.53465428 0.52667473 
0.46880526 0.49849733 0.05670710 0.79022476 0.03872047 
0.21697212 0.20443086 0.28949326 0.81678186 0.87629474 
0.92297064 0.27373097 0.84625273 0.51505586 0.00582792 
0.33295971 0.91848412 0.92537226 0.91760033 0.07541125 
0.71745848 0.61158698 0.00941650 0.03135554 0.71527471 
0.24821915 0.63636652 0.86159918 0.26450229 0.60160194 
0.35557725 0.24477500 0.07186456 0.51757096 0.62120362 
0.97981062 0.69954667 0.21065616 0.13382753 0.27693186 
0.59644095 0.71500764 0.04110751 0.95730081 0.91600724 
0.47704678 0.26183479 0.34706971 0.07545431 0.29398385 
0.93236070 0.60486023 0.48015011 0.08870451 0.45548581 
0.91872718 0.38142712 0.10668643 0.01397541 0.04520355 
0.93822273 0.18011940 0.57577277 0.91427606 0.30911399 
0.95853475 0.23611214 0.69619891 0.69601980 0.76765372 
0.58515930 0.49479057 0.11288752 0.97187699 0.32095365 
0.57563608 0.40760618 0.78703383 0.43261152 0.90877651 
0.84686346 0.10599030 0.72872803 0.19315490 0.66152912 
0.10210518 0.06257876 0.47950688 0.47062066 0.72701157 
0.48915116 0.66110261 0.60170685 0.24516994 0.12726050 
0.03451185 0.90864994 0.83494878 0.94800035 0.91035206 
0.14480751 0.88458997 0.53498312 0.15963215 0.55378627 
0.35171349 0.28719791 0.09097957 0.00667896 0.32309622 
0.87561479 0.42534520 0.91748977 0.73908457 0.41793223 
0.99279792 0.87908370 0.28458072 0.59132853 0.98672190 
0.28547393 0.09452165 0.89910674 0.53681109 0.37931425 
0.62683489 0.56609740 0.24801549 0.52948179 0.98328855 
0.66403523 0.55523786 0.75886666 0.84784685 0.86829981 
0.71448906 0.84670080 0.43922919 0.20771016 0.64157936 
0.25664246 0.73055695 0.86395782 0.65852932 0.99061803 
0.40280575 0.39146298 0.07291005 0.97200603 0.20555729 
0.59616495 0.08138254 0.45796388 0.33681125 0.33989127 
0.18717090 0.53545811 0.60550838 0.86520709 0.34290701 
0.72743276 0.73023855 0.34195926 0.65019733 0.02765254 
0.72575740 0.32709576 0.03420866 0.26061893 0.56997511 
0.28439072 0.84422744 0.77637570 0.55982168 0.06720327 
0.58449067 0.71657369 0.15819609 0.58042821 0.07947911 
0.40193792 0.11376012 0.88762938 0.67532159 0.71223735 
0.27829114 0.04806073 0.21144026 0.58830274 0.04140071 
0.43215628 0.12952729 0.94668759 0.87391019 0.98382450 
0.27750768 0.90849647 0.90962737 0.59269720 0.96102026 
0.49544979 0.32007095 0.62585546 0.03119821 0.85953001 
0.22017528 0.05834068 0.80731217 0.53799961 0.74166948 
0.77426600 0.43938444 0.54862081 0.58575513 0.15886492 
0.73214332 0.11649057 0.77463977 0.85788827 0.17061997 
0.66838056 0.96076133 0.07949296 0.68521946 0.89986254 
0.05667410 0.12741385 0.83470977 0.63969104 0.46612929 
0.10200126 0.01194925 0.10476340 0.90285217 0.31221221 
0.32980614 0.46041971 0.52024973 0.05425470 0.28330912 
0.60426543 0.00598243 0.97244013 0.21135841 0.78561597 
0.78428734 0.63422849 0.32909934 0.44771136 0.27380750 
0.14966697 0.18156268 0.65686758 0.28726350 0.97074787 
0.63676171 0.96649494 0.24526295 0.08297372 0.54257548 
0.03166785 0.33735355 0.15946671 0.02102971 0.46228045 
0.11892296 0.33408336 0.29875681 0.29847692 0.73767569 
0.02080745 0.62980060 0.08082293 0.22993106 0.25031439 
0.87787525 0.45150053 0.13673441 0.63407612 0.97907688 
0.52241942 0.50580158 0.06273902 0.05270283 0.77031811 
0.05113352 0.24393329 0.75036441 0.37436336 0.22877652 
0.59975358 0.85707591 0.88691457 0.85547165 0.36641027 
0.58720133 0.45462835 0.09243817 0.32981586 0.07820411 
0.25421519 0.36004706 0.60092307 0.46192412 0.36758683 
0.98424170 0.08019934 0.68594024 0.45826386 0.29962317 
0.79365413 0.89231296 0.49478547 0.87645944 0.23590734 
0.28106737 0.75026285 0.08136314 0.79582424 0.76010628 
0.82792971 0.27947652 0.72482861 0.82191216 0.46171689 
0.79189752 0.96043686 0.51609668 0.88995725 0.28998963 
0.55191845 0.03934737 0.83033700 0.49553013 0.98009549 
0.19017594 0.98347750 0.33452066 0.87144372 0.72106301 
0.71272114 0.71465963 0.88361677 0.85571283 0.73782329 
0.20920458 0.34855153 0.46766817 0.02780062 0.74898344 
0.03680650 0.44866557 0.77426312 0.91025891 0.25195236 
0.87319953 0.63265037 0.25552148 0.27422476 0.95217406 
0.39281839 0.66441573 0.09158900 0.94515992 0.07800798 
0.02507888 0.39901462 0.17382573 0.12141278 0.85502334 
0.19902911 0.02160210 0.44460522 0.14688742 0.68020336 
0.71323733 0.60922473 0.95400380 0.99611159 0.90897777 
0.41073520 0.66206647 0.32064685 0.62805003 0.50677209 
0.52690101 0.87473387 0.73918362 0.39826974 0.43683919 
0.80459118 0.32422684 0.01958019 0.95319576 0.98326137 
0.83931735 0.69060863 0.33671416 0.68062550 0.65152380 
0.33392969 0.03451730 0.95227244 0.68200635 0.85074171 
0.64721009 0.51234433 0.73402047 0.00969637 0.93835057 
0.80803854 0.31485260 0.20089527 0.01323282 0.59933780 
0.31584602 0.20209563 0.33754800 0.68604181 0.24443049 
0.19952227 0.78162632 0.10336988 0.11360736 0.23536740 
0.23262256 0.67803776 0.48749791 0.74658435 0.92156640 
0.56706407 0.36683221 0.99157136 0.23421374 0.45183767 
0.91609720 0.85573315 0.37706276 0.77042618 0.30891908 
0.40709595 0.06944866 0.61342849 0.88817388 0.58734506 
0.98711323 0.14744128 0.63242656 0.87704136 0.68347125 
0.84446569 0.43265239 0.25146321 0.04130111 0.34259839 
0.92697368 0.40878778 0.56990338 0.76204273 0.19820348 
0.66314909 0.02482844 0.06669207 0.50205581 0.26084093 
0.65139159 0.41650223 0.09733904 0.56344203 0.62651696 
0.67332139 0.58037374 0.47258086 0.21010758 0.05713135 
0.89390629 0.10781246 0.32037450 0.07628388 0.34227964 
0.42190597 0.58201860 0.77363549 0.49595133 0.86031236 
0.83906769 0.81098161 0.26694195 0.14215941 0.88210306 
0.53634237 0.12090720 0.82480459 0.75930318 0.31847147 
0.92768077 0.01037616 0.56201727 0.88107122 0.35925856 
0.85860762 0.61109408 0.70408301 0.58434977 0.92192494 
0.62667915 0.75988365 0.06858761 0.36156496 0.58057195 
0.13636150 0.57719713 0.59340255 0.63530602 0.22976282 
0.71915530 0.41162531 0.63979565 0.09931342 0.79344045 
0.10893790 0.84450224 0.23122236 0.99485593 0.73637397 
0.17276368 0.13357764 0.74965804 0.64991737 0.61990341 
0.41523170 0.05878239 0.05687301 0.05497131 0.42868366 
0.42571090 0.25810502 0.89642955 0.30439758 0.39310223 
0.11357431 0.04288255 0.23397550 0.11200634 0.85621396 
0.89733974 0.37508865 0.42077265 0.68597384 0.72781399 
0.19296476 0.61699087 0.31667128 0.67756410 0.00177323 
0.05725176 0.79474693 0.18885238 0.06724856 0.68193156 
0.42202167 0.22082041 0.28554673 0.64995708 0.87851940 
0.29124547 0.61009521 0.87374537 0.05743712 0.69902994 
0.81925115 0.45653873 0.37236821 0.31118709 0.52734307 
0.39672836 0.38185294 0.30163915 0.17374510 0.04913278 
0.90404879 0.25742801 0.58266467 0.97663209 0.79823377 
0.36437958 0.15206043 0.26529938 0.22690047 0.05839021 
0.84721160 0.18622435 0.37809403 0.55706977 0.49828704 
0.47659049 0.24289680 0.88477595 0.07807463 0.56245739 
0.73490635 0.21099431 0.13164942 0.75840044 0.66877037 
0.28988183 0.44046090 0.24967434 0.80048356 0.26029740 
0.30416821 0.64151867 0.52067892 0.12880774 0.85465381 
0.02690525 0.19149288 0.49630295 0.79682619 0.43566145 
0.00288078 0.81484193 0.03763639 0.68529083 0.01339574 
0.38405386 0.30537067 0.22994703 0.44000045 0.27217985 
0.53831243 0.02870435 0.86282045 0.61831306 0.09164956 
0.25609707 0.07445781 0.72185784 0.90058883 0.30070608 
0.94476583 0.56822213 0.21933909 0.96772793 0.80063440 
0.26307906 0.31183306 0.16501252 0.55436179 0.68562285 
0.23829083 0.86511559 0.57868991 0.81888344 0.20126869 
0.93172350 0.66028129 0.21786948 0.78515828 0.10262106 
0.35390326 0.79303876 0.63427924 0.90479631 0.31024934 
0.60635447 0.56198079 0.63573813 0.91854197 0.99701497 
0.83085849 0.31692291 0.01925964 0.97446405 0.98751283 
0.60944293 0.13751018 0.69519957 0.68956636 0.56969015 
0.46440193 0.88341765 0.36754434 0.89223647 0.39786427 
0.85055280 0.12749961 0.79452122 0.89449784 0.14567830 
0.45716830 0.74822309 0.28200437 0.42546044 0.17464886 
0.68308746 0.65496587 0.52935411 0.12736159 0.61523955 
0.81590528 0.63107864 0.39786553 0.20102294 0.53292914 
0.75485590 0.59847044 0.32861691 0.12125866 0.58917183 
0.07638293 0.86845380 0.29192617 0.03989733 0.52180460 
0.32503407 0.64071852 0.69516575 0.74254998 0.54587026 
0.48713246 0.32920155 0.08719954 0.63497059 0.54328459 
0.64178757 0.45583809 0.70694291 0.85212760 0.86074305 
0.33163422 0.85739792 0.59908488 0.74566046 0.72157152 
0x67405e6c328fecdf 0x3c8b2c35482ec8c9 0x3250533bca1940c7 
0xf2d983e5b3262520 0xe5b759c591be1fda 0x8242a4458c0654ef 
0xb04d83e5cb5b6017 0xb6ad8ae702c9d964 0xbcf18ae96331a2da 
0x1cc1d152497d4674 0xc89cf1de59189442 0x398b33c171e4c16c 
0xe1ef8b20e9581f1f 0xbcf3922d01c3c4c3 0x3fb925af371e20d8 
0x3788696c8a091e68 0x98a8edcd8a199268 0x2b2bf18b86a1d357 
0x474017009e18d034 0x0f5914833849cde7 0x5f04574352379c0d 
0x8f5ca9b0d749b8d0 0x75b973eb6c039cde 0x69d4a24d0386aca4 
0xfe82fe22f8c3715d 0x007e2b70611c98e7 0xf45e29c72b9f1786 
0x7694fd07e82e529d 0x0d374894c5b55c9c 0xc8e6005052a38ac7 
0xdafb054cec6083d7 0x625a22c66cd3bf85 0xc0af2ff40f2b0074 
0xd6489630d188c4c3 0x7f034dbaf566f42b 0xfa47383d871e8dae 
0x1e9bc6524bbc99df 0xc97e66d2eef0793f 0x45760d27aade8dc5 
0xd9a5a1454582602e 0xb340cc9b522bb2b1 0xc449fec5c8359c3b 
0xdba9d20c2b809802 0xe414bdd2089cd4a9 0x714def09cabd0d3d 
0xf9755125bdca9539 0xa5d9bfb951aed29c 0x5c7e2d33c83ddf92 
0x8a59ea07850aa835 0x401f067db97b5427 0xefe4b17bb713b9c7 
0xee193cc8a0f16596 0x0c6b1f2a9ea778e5 0xbcacdc1567f07bef 
0x713ddb4b58672888 0xee8075374182b161 0x03ec2941a3da86d6 
0x675aebbee50e893c 0xd225931684eb5291 0xe477c127c0a105e7 
0xefcf3d05ef772a45 0xc4ef9941734f83b1 0x87e4942af85e11e8 
0xbf5fcadc377de765 0x079d9de562268b5f 0xea04faeba98f3e5c 
0xb930c6da6ddba5f7 0x478236b93821b9ba 0xa9cfc9be294b0ff7 
0x6079f977b05fb70e 0xe9e2dbe839ffb6e8 0xb3170798eddd9379 
0x0ef96e0ec793a92f 0x0524e13897de842d 0x465b56ac3b31cdda 
0x890bd07a90444c77 0xe234eff01af4dfd2 0xe84848232dbbfdd3 
0x3c4efcfca0456b81 0x670edacde7eeec34 0x2b36fde828c7b1ec 
0x9b6da65be00fdbd5 0xa3c761de25e1f4ba 0x7377fd171c85c139 
0x1b128eb2dad95dd2 0x3537b8e218bd4ec7 0xa0101eb1b3e29a86 
0x528f6b866eb20175 0x5473da9172d03fbd 0x9c77153ec299763c 
0x47ba00f901873acb 0x137df82e07c009b0 0x3c61915b065d0aa6 
0xe49e7299af8e6c5c 0x257f9436560d2208 0x78b7d974999c611a 
0x0d8adaad822c4965 0xa20c4d15c9573034 0x6f95460c6e9d822d 
0x2f853e287ea74d01 0xab53596fa5dc9c89 0x527171fc57868fc3 
0xab0a91e3a225f47f 0x5fe417b6624ce303 0x8ae42059c66c39dd 
0xb60de6ddff69c310 0xc83f24d03dbfe608 0xc5165efd988fd170 
0x12c3eb7ad4274929 0x1f8cee33476428d2 0x1ddea9364463c3ff 
0x1667501fcad4dedb 0x62c7365a9bb30ad9 0x8899b942b7573303 
0xc887f6d9377ee390 0x402af03474f37acc 0x9da72866ac0d1cc5 
0xa986abc55d6af4f4 0xe8a71cb1151dbf43 0x0ec056bba0bc3215 
0xda14a58e848fcf79 0x491f5bd20198aa9b 0xf42da0476fcd8832 
0x627c1873be8fb51e 0xa454d9b0317b861a 0x40fc96f80cd3bbc0 
0x9e2ff393daf483cb 0xfc758a65c59b083e 0xe859fd51d3a08556 
0x5efef07d19820724 0xe279ece74937813f 0x110eb92574a2084e 
0x3df42d82245bff2b 0x9ca473630575feb8 0x15c70084fb66d585 
0xbee7c870394194f7 0x9cc0a4f51f369867 0x6afbf2cb6ec861cf 
0xa5b91a04835cae3a 0x7ddc222f0834f7eb 0xa9dfb4a5b06e5b6b 
0xb5810c3cc04cd424 0xc868b4afb4e9dacc 0x42c02254bac2d4d8 
0xf0a9eece4466ef85 0x4871a4148a47ea38 0x12576ffdb6fdad9b 
0x0e9505d10fc16302 0x5631bf2c70323f0e 0x28b179d03e01feab 
0x9dc0dd12b00dac9b 0x8cf7134a0d2f5d0e 0xeb08c68420fa5985 
0x70c0a74d1d12661a 0xc66142602dd41863 0xb20965edb4a3adb9 
0x319530ddf3890df6 0x5b78a9a93cbc723c 0x4cb9b467b0b55068 
0x8542da469019ce95 0xc091429ae362663a 0x9ef9dc529dccab6e 
0x96da56d02c5e2eda 0xbd065629a65356b8 0x86ab31cf8072eca6 
0xc95dff79f3ee122c 0x9044db614b167618 0x2b53b3ada5a7095d 
0x039b2a4c565ecffa 0xebe357d7d10d5f2d 0x64b694ddcdffd60a 
0x2f1a1613ac6c9f3d 0xc79da221329d4ef9 0x2bdb226b6cd38813 
0xca9767b9d3a2b084 0x66f6512c1f7dc7fd 0x91a73f962a2f07e0 
0x885bbddc2ff3debf 0xbd67554077fd4c70 0x99013399c758bd15 
0x5cf5b0f828128900 0x210a832780dbd783 0x9e3a38661b53eda9 
0xaae6b882c58412c3 0x2082626df4ca895b 0x5cf5f76bb7b48682 
0x6c0cae2d715e434e 0xef16816391c305dc 0x87b979af394695e4 
0xcd2a272a1a805492 0x60f7e95280c303c4 0x321c98d44c5f4e05 
0xadf6dce5480a0aa2 0x72c9e5996c3339ad 0xbf1d29e6f0b41a0d 
